"Allen ""The Answer"" Iverson","""The Answer""",Allen Iverson
"Artis ""The A-Train"" Gilmore","""The A-Train""",Artis Gilmore
"Shaquille ""Big Aristotle"" O'Neal","""Big Aristotle""",Shaquille O'Neal
"Ben ""Big Ben"" Wallace","""Big Ben""",Ben Wallace
"Bryant ""Big Country"" Reeves","""Big Country""",Bryant Reeves
"Wilt ""The Big Dipper"" Chamberlain","""The Big Dipper""",Wilt Chamberlain
"Glenn ""Big Dog"" Robinson","""Big Dog""",Glenn Robinson
"Elvin ""The Big E"" Hayes","""The Big E""",Elvin Hayes
"Corliss ""Big Nasty"" Williamson","""Big Nasty""",Corliss Williamson
"Oscar ""Big O"" Robertson","""Big O""",Oscar Robertson
"Dave ""Big Red"" Cowens","""Big Red""",Dave Cowens
"Kevin ""The Big Ticket"" Garnett","""The Big Ticket""",Kevin Garnett
"Vernell ""Bimbo"" Coles","""Bimbo""",Vernell Coles
"George ""Bird"" Yardley","""Bird""",George Yardley
"Theo ""Blue"" Edwards","""Blue""",Theo Edwards
"Charles ""Bo"" Outlaw","""Bo""",Charles Outlaw
"Charles ""Buck"" Williams","""Buck""",Charles Williams
"James ""Buddha"" Edwards","""Buddha""",James Edwards
"Harry ""Buddy"" Jeannette","""Buddy""",Harry Jeannette
"Bob ""Butterbean"" Love","""Butterbean""",Bob Love
"Greg ""Cadillac"" Anderson","""Cadillac""",Greg Anderson
"Cuttino ""Cat"" Mobley","""Cat""",Cuttino Mobley
"Robert ""Chief"" Parish","""Chief""",Robert Parish
"Darryl ""Chocolate Thunder"" Dawkins","""Chocolate Thunder""",Darryl Dawkins
"Charles ""The Chuckster"" Barkley","""The Chuckster""",Charles Barkley
"Walt ""Clyde"" Frazier","""Clyde""",Walt Frazier
"Clyde ""Clyde The Glide"" Drexler","""Clyde The Glide""",Clyde Drexler
"Cedric ""Cornbread"" Maxwell","""Cornbread""",Cedric Maxwell
"Dennis ""DJ"" Johnson","""DJ""",Dennis Johnson
"Dale ""D Square"" Davis","""D Square""",Dale Davis
"DeCovan ""Dee"" Kadell ""Dee"" Brown","""Dee""",DeCovan Kadell Brown
"Shaquille ""Diesel"" O'Neal","""Diesel""",Shaquille O'Neal
"Glenn ""Doc"" Rivers","""Doc""",Glenn Rivers
"Darrell ""Dr. Dunkenstein"" Griffith","""Dr. Dunkenstein""",Darrell Griffith
"Julius ""Dr. J"" Erving","""Dr. J""",Julius Erving
"Dan ""Dr. Rounds"" Roundfield","""Dr. Rounds""",Dan Roundfield
"Bill ""Dollar Bill"" Bradley","""Dollar Bill""",Bill Bradley
"Gerald ""Doug E. Fresh"" Wilkins","""Doug E. Fresh""",Gerald Wilkins
"Hakeem ""The Dream"" Olajuwon","""The Dream""",Hakeem Olajuwon
"Slater ""Dugie"" Martin","""Dugie""",Slater Martin
"Earl ""Earl The Pearl"" Monroe","""Earl The Pearl""",Earl Monroe
"Edward ""Fast Eddie"" Johnson, ""Fast Eddie"" Jr.","""Fast Eddie""","Edward Johnson, Jr."
"Lafayette ""Fat"" Lever","""Fat""",Lafayette Lever
"Gary ""The Glove"" Payton","""The Glove""",Gary Payton
"Earl ""The Goat"" Manigault","""The Goat""",Earl Manigault
"Tom ""Googs"" Gugliotta","""Googs""",Tom Gugliotta
"Larry ""Grandma-ma"" Johnson","""Grandma-ma""",Larry Johnson
"Walter ""Greyhound"" Davis","""Greyhound""",Walter Davis
"Harold ""Hap"" or ""Happy"" Hairston","""Hap"" or ""Happy""",Harold Hairston
"Connie ""The Hawk"" Hawkins","""The Hawk""",Connie Hawkins
"Larry ""The High Ayatolla of Slamola"" Nance","""The High Ayatolla of Slamola""",Larry Nance
"Bill ""His Heinous"" Laimbeer","""His Heinous""",Bill Laimbeer
"John ""Hondo"" Havlicek","""Hondo""",John Havlicek
"Dan ""Horse"" Issel","""Horse""",Dan Issel
,"""Hot Rod"" =",
", Rodney Hundley American Rodney Hundley swingman",Rodney Hundley,", American swingman"
", John Williams American John Williams power John Williams forward",John Williams,", American power forward"
"Bob ""The Houdini of the Hardwood"" Cousy","""The Houdini of the Hardwood""",Bob Cousy
"Patrick ""The Hoya Destroya"" Ewing","""The Hoya Destroya""",Patrick Ewing
"Dominique ""The Human Highlight Reel"" Wilkins","""The Human Highlight Reel""",Dominique Wilkins
"George ""Iceman"" Gervin","""Iceman""",George Gervin
"Joe ""Jellybean"" Bryant","""Jellybean""",Joe Bryant
"Ulysses ""Junior"" Bridgeman","""Junior""",Ulysses Bridgeman
"Jerome ""The Junk Yard Dog"" Williams","""The Junk Yard Dog""",Jerome Williams
"Billy ""Kangaroo Kid"" Cunningham","""Kangaroo Kid""",Billy Cunningham
"Cliff ""Li'l Abner"" Hagan","""Li'l Abner""",Cliff Hagan
"Vernon ""Mad Max"" Maxwell","""Mad Max""",Vernon Maxwell
"Earvin ""Magic"" Johnson","""Magic""",Earvin Johnson
"Karl ""The Mailman"" Malone","""The Mailman""",Karl Malone
"Vinnie ""Microwave"" Johnson","""Microwave""",Vinnie Johnson
"Damon ""Mighty Mouse"" Stoudamire","""Mighty Mouse""",Damon Stoudamire
"Bill ""Mr. Bill"" Cartwright","""Mr. Bill""",Bill Cartwright
"Jerry ""Mr. Clutch"" West","""Mr. Clutch""",Jerry West
