"Benjamin Van Durme"
"Valerie E. Taylor"
"Michael S Waterman"
"Mark Corner"
"Marios Papaefthymiou"
"Pavol Cerny"
"Jan-Michael Frahm"
"Gregory W. Wornell"
"Chuck Hansen"
"Jarek Rossignac"
"Mats Heimdahl"
"Giuseppe Ateniese"
"Raju Pandey"
"David Jacobs"
"Santosh Vempala"
"Jaakko Jarvi"
"Rudra Dutta"
"John Gilbert"
"Debmalya Panigrahi"
"Jeff Erickson"
"Anita Wasilewska"
"Tucker Balch"
"Douglas S. Reeves"
"Eddie Kohler"
"Bill Tomlinson"
"Adnan Darwiche"
"Eric Paulos"
"Kirk Pruhs"
"Tim Sherwood"
"Ronald N. Goldman"
"James Cohoon"
"Marvin Minsky"
"Anastasios Sidiropoulos"
"Todd Austin"
"David L. Dill"
"Sara Kiesler"
"Sudhanva Gurumurthi"
"Dan Roth"
"I.V. Ramakrishnan"
"Marc Snir"
"Jaideep Srivastava"
"Samir Das"
"Kunle Olukotun"
"Mustaque Ahamad"
"Bruce R. Donald"
"Michael Kearns"
"Milos Hauskrecht"
"Damon L. Woodard"
"Greg Andrews"
"David Cheriton"
"Dennis Kafura"
"Kavita Bala"
"Venkat Chandrasekaran"
"David Jensen"
"Boon Thau Loo"
"Anna Gal"
"Kathryn Roeder"
"Vivek Sarin"
"Hakim Weatherspoon"
"Tai Sing Lee"
"Kasim Candan"
"Allen Tannenbaum"
"Jianer Chen"
"Maria Gini"
"Paul Hudak"
"Adam Finkelstein"
"Ruzena Bajcsy"
"Aaron Quinlan"
"Mary Hall"
"James Purtilo"
"Steven Reiss"
"Kostas Daniilidis"
"Emmett Witchel"
"Silvio Savarese"
"S. V. N. Vishwanathan"
"Joanne Selinski"
"Daniel M. Gusfield"
"Matthias Stallmann"
"Takeo Kanade"
"Robert Kraut"
"Christopher Barrett"
"Robert D. Skeel"
"Sanjoy Baruah"
"Ron Cytron"
"D. Stott Parker"
"James Foley"
"Brian Scassellati"
"Leah Findlater"
"Larry Peterson"
"Ian G. Harris"
"Joshua R. Smith"
"David Kotz"
"Doug James"
"Chris North"
"John Zimmerman"
"Alan H. Barr"
"Shaun Kane"
"Paul Debevec"
"William GJ Halfond"
"Sriram Sankaranarayanan"
"Ingolf Krueger"
"Tevfik Bultan"
"Barzan Mozafari"
"Ravi Ramamoorthi"
"Rada Y. Chirkova"
"Thorsten Joachims"
"Michael Freedman"
"Barton Miller"
"Elliot Soloway"
"Arunava Banerjee"
"Feifei Li"
"Jamie Callan"
"Nick McKeown"
"Eugene H. Spafford"
"Madhu Sudan"
"Sheila Greibach"
"Keith Marzullo"
"Tom Hinrichs"
"G. Elisabeta Marai"
"Stephen Wright"
"Christoph Bregler"
"Henrik Christensen"
"Radu Sion"
"Steven Seitz"
"Steve Zdancewic"
"Selmer Bringsjord"
"Alexander Razborov"
"Don Norman"
"Charles C Weems"
"Jeanne Ferrante"
"Nicoleta Roman"
"Emanuel Todorov"
"Robert Collins"
"Alvin R. Lebeck"
"Eric Mjolsness"
"Olga Vitek"
"Nicholas Roussopoulos"
"Ronald Arkin"
"Francis Quek"
"Rahul Basole"
"Lee Hollaar"
