MARY,2.629,2.629,1
PATRICIA,1.073,3.702,2
LINDA,1.035,4.736,3
BARBARA,0.980,5.716,4
ELIZABETH,0.937,6.653,5
JENNIFER,0.932,7.586,6
MARIA,0.828,8.414,7
SUSAN,0.794,9.209,8
MARGARET,0.768,9.976,9
DOROTHY,0.727,0.703,0
LISA,0.704,1.407,1
NANCY,0.669,2.075,2
KAREN,0.667,2.742,3
BETTY,0.666,3.408,4
HELEN,0.663,4.071,5
SANDRA,0.629,4.700,6
DONNA,0.583,5.282,7
CAROL,0.565,5.848,8
RUTH,0.562,6.410,9
SHARON,0.522,6.932,0
MICHELLE,0.519,7.451,1
LAURA,0.510,7.961,2
SARAH,0.508,8.469,3
KIMBERLY,0.504,8.973,4
DEBORAH,0.494,9.467,5
JESSICA,0.490,9.958,6
SHIRLEY,0.482,0.439,7
CYNTHIA,0.469,0.908,8
ANGELA,0.468,1.376,9
MELISSA,0.462,1.839,0
BRENDA,0.455,2.293,1
AMY,0.451,2.745,2
ANNA,0.440,3.185,3
REBECCA,0.430,3.615,4
VIRGINIA,0.430,4.044,5
KATHLEEN,0.424,4.468,6
PAMELA,0.416,4.884,7
MARTHA,0.412,5.297,8
DEBRA,0.408,5.704,9
AMANDA,0.404,6.108,0
STEPHANIE,0.400,6.508,1
CAROLYN,0.385,6.893,2
CHRISTINE,0.382,7.275,3
MARIE,0.379,7.655,4
JANET,0.379,8.034,5
CATHERINE,0.373,8.408,6
FRANCES,0.370,8.777,7
ANN,0.364,9.141,8
JOYCE,0.364,9.505,9
DIANE,0.359,9.864,0
ALICE,0.357,0.221,1
JULIE,0.348,0.568,2
HEATHER,0.337,0.905,3
TERESA,0.336,1.241,4
DORIS,0.335,1.577,5
GLORIA,0.335,1.912,6
EVELYN,0.322,2.233,7
JEAN,0.315,2.548,8
CHERYL,0.315,2.863,9
MILDRED,0.313,3.176,0
KATHERINE,0.313,3.489,1
JOAN,0.306,3.795,2
ASHLEY,0.303,4.098,3
JUDITH,0.297,4.395,4
ROSE,0.296,4.691,5
JANICE,0.285,4.975,6
KELLY,0.283,5.258,7
NICOLE,0.281,5.539,8
JUDY,0.276,5.815,9
CHRISTINA,0.275,6.090,0
KATHY,0.272,6.362,1
THERESA,0.271,6.633,2
BEVERLY,0.267,6.900,3
DENISE,0.264,7.164,4
TAMMY,0.259,7.423,5
IRENE,0.252,7.675,6
JANE,0.250,7.925,7
LORI,0.248,8.173,8
RACHEL,0.242,8.415,9
MARILYN,0.241,8.657,0
ANDREA,0.236,8.893,1
KATHRYN,0.234,9.127,2
LOUISE,0.229,9.356,3
SARA,0.229,9.584,4
ANNE,0.228,9.812,5
JACQUELINE,0.228,0.040,6
WANDA,0.226,0.266,7
BONNIE,0.223,0.489,8
JULIA,0.223,0.711,9
RUBY,0.221,0.932,0
LOIS,0.220,1.153,1
TINA,0.220,1.372,2
PHYLLIS,0.219,1.591,3
NORMA,0.218,1.809,4
PAULA,0.217,2.026,5
DIANA,0.216,2.242,6
ANNIE,0.216,2.458,7
LILLIAN,0.211,2.669,8
EMILY,0.208,2.877,9
ROBIN,0.208,3.085,0
PEGGY,0.208,3.293,1
CRYSTAL,0.207,3.500,2
GLADYS,0.205,3.705,3
RITA,0.204,3.908,4
DAWN,0.202,4.111,5
CONNIE,0.200,4.311,6
FLORENCE,0.200,4.511,7
TRACY,0.197,4.708,8
EDNA,0.197,4.904,9
TIFFANY,0.195,5.100,0
CARMEN,0.195,5.295,1
ROSA,0.194,5.489,2
CINDY,0.192,5.681,3
GRACE,0.189,5.869,4
WENDY,0.185,6.055,5
VICTORIA,0.180,6.235,6
EDITH,0.179,6.414,7
KIM,0.178,6.592,8
SHERRY,0.178,6.770,9
SYLVIA,0.177,6.947,0
JOSEPHINE,0.177,7.123,1
THELMA,0.175,7.298,2
SHANNON,0.175,7.473,3
SHEILA,0.175,7.648,4
ETHEL,0.174,7.822,5
ELLEN,0.173,7.995,6
ELAINE,0.173,8.168,7
MARJORIE,0.173,8.341,8
CARRIE,0.171,8.512,9
CHARLOTTE,0.169,8.680,0
MONICA,0.166,8.847,1
ESTHER,0.166,9.013,2
PAULINE,0.165,9.178,3
EMMA,0.165,9.342,4
JUANITA,0.164,9.506,5
ANITA,0.162,9.669,6
RHONDA,0.162,9.830,7
HAZEL,0.161,9.991,8
AMBER,0.160,0.151,9
EVA,0.159,0.310,0
DEBBIE,0.157,0.467,1
APRIL,0.154,0.621,2
LESLIE,0.154,0.775,3
CLARA,0.153,0.928,4
LUCILLE,0.153,1.081,5
JAMIE,0.153,1.235,6
JOANNE,0.150,1.385,7
ELEANOR,0.150,1.535,8
VALERIE,0.149,1.684,9
DANIELLE,0.149,1.833,0
MEGAN,0.147,1.981,1
ALICIA,0.146,2.126,2
SUZANNE,0.145,2.272,3
MICHELE,0.145,2.417,4
GAIL,0.145,2.562,5
BERTHA,0.143,2.704,6
DARLENE,0.142,2.847,7
VERONICA,0.142,2.989,8
JILL,0.142,3.131,9
ERIN,0.141,3.272,0
GERALDINE,0.141,3.413,1
LAUREN,0.137,3.550,2
CATHY,0.137,3.687,3
JOANN,0.136,3.823,4
LORRAINE,0.135,3.958,5
LYNN,0.135,4.093,6
SALLY,0.135,4.228,7
REGINA,0.133,4.360,8
ERICA,0.130,4.490,9
BEATRICE,0.130,4.620,0
DOLORES,0.129,4.749,1
BERNICE,0.128,4.877,2
AUDREY,0.127,5.003,3
YVONNE,0.126,5.129,4
ANNETTE,0.125,5.255,5
JUNE,0.125,5.380,6
SAMANTHA,0.124,5.504,7
MARION,0.122,5.626,8
DANA,0.122,5.748,9
STACY,0.121,5.869,0
ANA,0.120,5.989,1
RENEE,0.120,6.109,2
IDA,0.118,6.227,3
VIVIAN,0.118,6.346,4
ROBERTA,0.117,6.463,5
HOLLY,0.117,6.580,6
BRITTANY,0.117,6.697,7
MELANIE,0.116,6.813,8
LORETTA,0.115,6.928,9
YOLANDA,0.115,7.043,0
JEANETTE,0.115,7.158,1
LAURIE,0.114,7.271,2
KATIE,0.113,7.385,3
KRISTEN,0.111,7.496,4
VANESSA,0.111,7.607,5
ALMA,0.111,7.718,6
SUE,0.111,7.829,7
ELSIE,0.110,7.939,8
BETH,0.110,8.049,9
JEANNE,0.109,8.158,0
VICKI,0.109,8.267,1
CARLA,0.107,8.374,2
TARA,0.107,8.482,3
ROSEMARY,0.107,8.589,4
EILEEN,0.105,8.694,5
TERRI,0.105,8.799,6
GERTRUDE,0.103,8.902,7
LUCY,0.103,9.005,8
TONYA,0.102,9.107,9
ELLA,0.101,9.208,0
