JAMES,3.318,3.318,1
JOHN,3.271,6.589,2
ROBERT,3.143,9.732,3
MICHAEL,2.629,2.361,4
WILLIAM,2.451,4.812,5
DAVID,2.363,7.176,6
RICHARD,1.703,8.878,7
CHARLES,1.523,0.401,8
JOSEPH,1.404,1.805,9
THOMAS,1.380,3.185,0
CHRISTOPHER,1.035,4.220,1
DANIEL,0.974,5.194,2
PAUL,0.948,6.142,3
MARK,0.938,7.081,4
DONALD,0.931,8.012,5
GEORGE,0.927,8.939,6
KENNETH,0.826,9.766,7
STEVEN,0.780,0.546,8
EDWARD,0.779,1.325,9
BRIAN,0.736,2.061,0
RONALD,0.725,2.787,1
ANTHONY,0.721,3.508,2
KEVIN,0.671,4.179,3
JASON,0.660,4.839,4
MATTHEW,0.657,5.496,5
GARY,0.650,6.147,6
TIMOTHY,0.640,6.786,7
JOSE,0.613,7.399,8
LARRY,0.598,7.997,9
JEFFREY,0.591,8.588,0
FRANK,0.581,9.169,1
SCOTT,0.546,9.715,2
ERIC,0.544,0.259,3
STEPHEN,0.540,0.799,4
ANDREW,0.537,1.335,5
RAYMOND,0.488,1.824,6
GREGORY,0.441,2.265,7
JOSHUA,0.435,2.700,8
JERRY,0.432,3.132,9
DENNIS,0.415,3.547,0
WALTER,0.399,3.946,1
PATRICK,0.389,4.335,2
PETER,0.381,4.716,3
HAROLD,0.371,5.087,4
DOUGLAS,0.367,5.454,5
HENRY,0.365,5.819,6
CARL,0.346,6.165,7
ARTHUR,0.335,6.500,8
RYAN,0.328,6.828,9
ROGER,0.322,7.150,0
JOE,0.321,7.471,1
JUAN,0.316,7.786,2
JACK,0.315,8.102,3
ALBERT,0.314,8.415,4
JONATHAN,0.313,8.729,5
JUSTIN,0.311,9.040,6
TERRY,0.311,9.351,7
GERALD,0.309,9.660,8
KEITH,0.308,9.968,9
SAMUEL,0.306,0.274,0
WILLIE,0.302,0.576,1
RALPH,0.282,0.859,2
LAWRENCE,0.282,1.141,3
NICHOLAS,0.275,1.415,4
ROY,0.273,1.688,5
BENJAMIN,0.270,1.958,6
BRUCE,0.263,2.221,7
BRANDON,0.260,2.480,8
ADAM,0.259,2.740,9
HARRY,0.251,2.991,0
FRED,0.251,3.241,1
WAYNE,0.249,3.490,2
BILLY,0.248,3.738,3
STEVE,0.246,3.984,4
LOUIS,0.243,4.227,5
JEREMY,0.242,4.469,6
AARON,0.240,4.710,7
RANDY,0.232,4.942,8
HOWARD,0.230,5.172,9
EUGENE,0.230,5.402,0
CARLOS,0.229,5.630,1
RUSSELL,0.224,5.854,2
BOBBY,0.223,6.077,3
VICTOR,0.222,6.299,4
MARTIN,0.216,6.515,5
ERNEST,0.215,6.730,6
PHILLIP,0.213,6.942,7
TODD,0.213,7.155,8
JESSE,0.209,7.364,9
CRAIG,0.206,7.570,0
ALAN,0.204,7.774,1
SHAWN,0.200,7.973,2
CLARENCE,0.197,8.170,3
SEAN,0.197,8.368,4
PHILIP,0.197,8.565,5
CHRIS,0.197,8.761,6
JOHNNY,0.195,8.957,7
EARL,0.193,9.149,8
JIMMY,0.191,9.340,9
ANTONIO,0.190,9.531,0
DANNY,0.190,9.720,1
BRYAN,0.190,9.910,2
TONY,0.190,0.100,3
LUIS,0.189,0.289,4
MIKE,0.189,0.478,5
STANLEY,0.186,0.665,6
LEONARD,0.186,0.850,7
NATHAN,0.185,1.035,8
DALE,0.184,1.219,9
MANUEL,0.181,1.400,0
RODNEY,0.180,1.581,1
CURTIS,0.180,1.761,2
NORMAN,0.177,1.938,3
ALLEN,0.174,2.112,4
MARVIN,0.171,2.283,5
VINCENT,0.168,2.450,6
GLENN,0.167,2.617,7
JEFFERY,0.166,2.783,8
TRAVIS,0.166,2.949,9
JEFF,0.166,3.114,0
CHAD,0.165,3.279,1
JACOB,0.165,3.444,2
LEE,0.162,3.606,3
MELVIN,0.162,3.768,4
ALFRED,0.162,3.930,5
KYLE,0.160,4.090,6
FRANCIS,0.160,4.250,7
BRADLEY,0.159,4.409,8
JESUS,0.155,4.564,9
HERBERT,0.155,4.719,0
FREDERICK,0.154,4.873,1
RAY,0.153,5.026,2
JOEL,0.152,5.177,3
EDWIN,0.148,5.326,4
DON,0.145,5.471,5
EDDIE,0.144,5.615,6
RICKY,0.141,5.756,7
TROY,0.138,5.895,8
RANDALL,0.138,6.032,9
BARRY,0.134,6.167,0
ALEXANDER,0.132,6.299,1
BERNARD,0.127,6.427,2
MARIO,0.125,6.552,3
LEROY,0.125,6.676,4
FRANCISCO,0.124,6.801,5
MARCUS,0.124,6.925,6
MICHEAL,0.123,7.048,7
THEODORE,0.123,7.171,8
CLIFFORD,0.123,7.293,9
MIGUEL,0.122,7.415,0
OSCAR,0.122,7.538,1
JAY,0.118,7.656,2
JIM,0.118,7.773,3
TOM,0.117,7.890,4
CALVIN,0.115,8.006,5
ALEX,0.115,8.120,6
JON,0.115,8.235,7
RONNIE,0.113,8.348,8
BILL,0.112,8.461,9
LLOYD,0.112,8.573,0
TOMMY,0.112,8.685,1
LEON,0.112,8.797,2
DEREK,0.112,8.908,3
WARREN,0.110,9.018,4
DARRELL,0.108,9.126,5
JEROME,0.108,9.234,6
FLOYD,0.107,9.340,7
LEO,0.106,9.446,8
ALVIN,0.105,9.551,9
TIM,0.104,9.656,0
WESLEY,0.104,9.760,1
GORDON,0.104,9.864,2
DEAN,0.104,9.968,3
GREG,0.104,0.071,4
JORGE,0.104,0.175,5
DUSTIN,0.103,0.278,6
PEDRO,0.103,0.381,7
DERRICK,0.103,0.484,8
DAN,0.101,0.585,9
LEWIS,0.099,0.684,0
ZACHARY,0.099,0.782,1
COREY,0.098,0.880,2
HERMAN,0.097,0.977,3
MAURICE,0.097,1.074,4
VERNON,0.097,1.171,5
ROBERTO,0.097,1.268,6
CLYDE,0.095,1.363,7
GLEN,0.094,1.457,8
HECTOR,0.094,1.551,9
SHANE,0.093,1.645,0
RICARDO,0.093,1.738,1
SAM,0.092,1.830,2
RICK,0.091,1.921,3
LESTER,0.091,2.011,4
BRENT,0.090,2.102,5
RAMON,0.090,2.192,6
CHARLIE,0.090,2.281,7
TYLER,0.089,2.371,8
GILBERT,0.089,2.460,9
GENE,0.087,2.547,0
MARC,0.087,2.634,1
REGINALD,0.084,2.717,2
RUBEN,0.082,2.800,3
BRETT,0.082,2.882,4
ANGEL,0.082,2.964,5
NATHANIEL,0.081,3.045,6
RAFAEL,0.081,3.126,7
LESLIE,0.081,3.207,8
EDGAR,0.080,3.287,9
MILTON,0.080,3.367,0
RAUL,0.079,3.446,1
BEN,0.078,3.524,2
CHESTER,0.078,3.602,3
CECIL,0.078,3.680,4
DUANE,0.077,3.757,5
FRANKLIN,0.077,3.834,6
ANDRE,0.076,3.910,7
ELMER,0.074,3.984,8
BRAD,0.073,4.057,9
GABRIEL,0.073,4.130,0
