"Gary M. Olson"
"Daniel Jackson"
"Devika Subramanian"
"Caitlin Kelleher"
"Jason Eisner"
"Kevin R. B. Butler"
"Panayotis Mavromatis"
"Salman Avestimehr"
"Ed Lazowska"
"Benjamin Van Durme"
"Valerie E. Taylor"
"Michael S Waterman"
"Mark Corner"
"Marios Papaefthymiou"
"Pavol Cerny"
"Jan-Michael Frahm"
"Gregory W. Wornell"
"Chuck Hansen"
"Jarek Rossignac"
"Mats Heimdahl"
"Giuseppe Ateniese"
"Raju Pandey"
"David Jacobs"
"Phil Resnik"
"Santosh Vempala"
"Jaakko Jarvi"
"Rudra Dutta"
"John Gilbert"
"Debmalya Panigrahi"
"Jeff Erickson"
"Anita Wasilewska"
"Tucker Balch"
"Douglas S. Reeves"
"Eddie Kohler"
"Bill Tomlinson"
"Adnan Darwiche"
"Eric Paulos"
"Robert L. Constable"
"Kirk Pruhs"
"Tim Sherwood"
"Ronald N. Goldman"
"James Cohoon"
"Marvin Minsky"
"Anastasios Sidiropoulos"
"Todd Austin"
"David L. Dill"
"Sara Kiesler"
"Sudhanva Gurumurthi"
"Lori A Clarke"
"Dan Roth"
"I.V. Ramakrishnan"
"Thomas R. Ioerger"
"Marc Snir"
"Jaideep Srivastava"
"Samir Das"
"Kunle Olukotun"
"Mustaque Ahamad"
"Bruce R. Donald"
"Michael Kearns"
"Milos Hauskrecht"
"Donald F Towsley"
"Greg Andrews"
"David Cheriton"
"Dennis Kafura"
"Kavita Bala"
"Venkat Chandrasekaran"
"Bahman Kalantari"
"David Jensen"
"Anna Gal"
"Kathryn Roeder"
"Vivek Sarin"
"Hakim Weatherspoon"
"Tai Sing Lee"
"Kasim Candan"
"Allen Tannenbaum"
"Jianer Chen"
"Maria Gini"
"Paul Hudak"
"Adam Finkelstein"
"Ruzena Bajcsy"
"Aaron Quinlan"
"Mary Hall"
"James Purtilo"
"Steven Reiss"
"Kostas Daniilidis"
"Emmett Witchel"
"Silvio Savarese"
"S. V. N. Vishwanathan"
"Joanne Selinski"
"Stephen M. Thebaut"
"Daniel M. Gusfield"
"Matthias Stallmann"
"Takeo Kanade"
"Robert Kraut"
"T. N. Vijaykumar"
"Christopher Barrett"
"Robert D. Skeel"
"Sanjoy Baruah"
"Ron Cytron"
"Miodrag Potkonjak"
"D. Stott Parker"
"James Foley"
"Brian Scassellati"
"Leah Findlater"
"Larry Peterson"
"Ian G. Harris"
"Joshua R. Smith"
"David Kotz"
"Doug James"
"Chris North"
"John Zimmerman"
"Alan H. Barr"
"Shaun Kane"
"Paul Debevec"
"William GJ Halfond"
"Sriram Sankaranarayanan"
"Ingolf Krueger"
"Craig Zilles"
"Tevfik Bultan"
"Barzan Mozafari"
"Ravi Ramamoorthi"
"Thorsten Joachims"
"Michael Freedman"
"Barton Miller"
"Elliot Soloway"
"Arunava Banerjee"
"Feifei Li"
"Jamie Callan"
"Nick McKeown"
"Eugene H. Spafford"
"Madhu Sudan"
"Sheila Greibach"
"Keith Marzullo"
"Tom Hinrichs"
"G. Elisabeta Marai"
"Stephen Wright"
"Christoph Bregler"
"Henrik Christensen"
"Radu Sion"
"Steven Seitz"
"Steve Zdancewic"
"Alexander Razborov"
"Don Norman"
"Charles C Weems"
"Jeanne Ferrante"
"Nicoleta Roman"
"Emanuel Todorov"
"Robert Collins"
"Alvin R. Lebeck"
"Jack Tumblin"
"Eric Mjolsness"
"Olga Vitek"
"Nicholas Roussopoulos"
"Ronald Arkin"
"Francis Quek"
"Rahul Basole"
"Lee Hollaar"
"Stefanie Tellex"
"Jaime Carbonell"
"Laxmikant V. Kale"
"Andrew Grimshaw"
"Nikil Dutt"
"Bertram Ludaescher"
"Leslie Valiant"
"Tommi Jaakkola"
"Etienne Vouga"
"Samuel Buss"
"Dan Frost"
"Lorie Loeb"
"Yaron Singer"
"Blair MacIntyre"
"Robert Harper"
"Jure Leskovec"
"Jason Flinn"
"Tamal Dey"
"Sandhya Dwarkadas"
"Lawrence Hunter"
"Anil Nirmal Hirani"
"Richard Bonneau"
"J. Zico Kolter"
"Ryan Williams"
"Noah Smith"
"Demetri Terzopoulos"
"Melvin Breuer"
"Chris Gniady"
"Fredo Durand"
"Howard Elman"
"Brent Hecht"
"Montek Singh"
"Youtao Zhang"
"David C. Parkes"
"David Cash"
"Kathleen M. Carley"
"Kostas Bekris"
"William Enck"
"Stephen Kobourov"
"Paul Medvedev"
"Bor-Yuh Evan Chang"
"Andreas Klappenecker"
"Christian Collberg"
"Ari Requicha"
"Charles Isbell - Jr."
"Richard Vuduc"
"Eliana Colunga"
"Michael Bernstein"
"Anant Agarwal"
"Somesh Jha"
"Aloysius K. Mok"
"Sridhar Mahadevan"
"Valeria Bertacco"
"Alfred V. Aho"
"Chris Harrison"
"William D. Gropp"
"Dianne O'Leary"
"Leon Osterweil"
"Leonard B. Pitt"
"David Kriegman"
"Jack Snoeyink"
"Tiffani L. Williams"
"Jeffrey A. Miller"
"Steven Zucker"
"Kristy Elizabeth Boyer"
"Jason Ernst"
"Alexandra Kolla"
"Steve Homer"
"Sheldon Howard Jacobson"
"Beverly Sanders"
"John F. Canny"
"Kenneth Anderson"
"Pradeep Khosla"
"Manolis Kellis"
"James Reggia"
"Trent Jaeger"
"Eric Allender"
"Lawrence Henschen"
"Dana H. Ballard"
"Patrick D. McDaniel"
"Eric Frew"
"Saugata Basu"
"Dana Moshkovitz"
"Mary Jane Irwin"
"Xiangyu Zhang"
"Blair D. Sullivan"
"Jodi Forlizzi"
"Ali Farhadi"
"Saman Amarasinghe"
"Jeffrey S. Chase"
"Elizabeth Belding"
"R. Michael Young"
"Benjamin Snyder"
"Andrew Hilton"
"Ben Bederson"
"Randal Bryant"
