Chitta Baral
Kasim Candan
Charles Colbourn
James Collofello
Sandeep Gupta
Subbarao Kambhampati
Huan Liu
Arunabha Sen
Wei-Tek Tsai
Kurt VanLehn
Guoliang Xue
Rida Bazzi
Partha Dasgupta
Hasan Davulcu
Joohyung Lee
Brian Nelson
Andrea Richa
Violet Syrotiuk
Peter Wonka
Jieping Ye
Georgios Fainekos
Aviral Shrivastava
Yalin Wang
Assaf J. Kfoury
Azer Bestavros
Evimaria Terzi
George Kollios
Hongwei Xi
Ibrahim Matta
John Byers
Jonathan Appavoo
Leonid Levin
Leonid Reyzin
Lorenzo Orecchia
Margrit Betke
Mark Crovella
Peter Gacs
Ran Canetti
Richard West
Sharon Goldberg
Stan Sclaroff
Steve Homer
Wayne Snyder
Amy Greenwald
Andries van Dam
Anna Lysyanskaya
Benjamin Raphael
Chad Jenkins
Claire Mathieu
David Laidlaw
Eli Upfal
Erik Sudderth
Eugene Charniak
Franco Preparata
James Hays
Jeff Huang
John Hughes
John Savage
Maurice Herlihy
Michael Littman
Paul Valiant
Pedro Felzenszwalb
Philip Klein
Roberto Tamassia
Rodrigo Fonseca
Shriram Krishnamurthi
Sorin Istrail
Stan Zdonik
Stefanie Tellex
Steven Reiss
Thomas Doeppner
Tim Kraska
Ugur Cetintemel
Adam Wierman
Alain J. Martin
Alan H. Barr
Christopher Umans
Erik Winfree
Katrina Ligett
Leonard J. Schulman
Mathieu Desbrun
Peter Schroeder
Steven Low
Thomas Vidick
Tracey C. Ho
Venkat Chandrasekaran
Yaser S. Abu-Mostafa
Yisong Yue
Aarti Singh
Adrien Treuille
Alan Black
Alan Montgomery
Alexander J. Smola
Alexander Waibel
Amy Ogan
Andre Platzer
Andrew Moore
Andy Pavlo
Aniket Kittur
Anind Dey
Ann Lee
Anupam Datta
Anupam Gupta
Ariel Procaccia
Avrim Blum
Barnabás Póczos
Bhiksha Raj
Brad Myers
Carl Kingsford
Carolyn Penstein Rose
Chris Atkeson
Chris Harrison
Christian Kästner
Christine Neuwirth
Christopher Dyer
Christopher Langmead
Christos Faloutsos
Claire Le Goues
Daniel D. Sleator
Daniel P. Siewiorek
Dannie Durand
David Andersen
David Brumley
David Farber
David Garlan
David O'Hallaron
Edmund M. Clarke
Emma Brunskill
Eric Nyberg
Eric Poe Xing
Frank Pfenning
Garth Gibson
Gary Miller
Ge Yang
Greg Ganger
Gustavo Rohde
Guy Blelloch
Howie Choset
Hui Zhang
J. Andrew (Drew) Bagnell
J. Zico Kolter
Jacobo Carrasquel
Jaime Carbonell
James C. Hoe
James Herbsleb
James Morris
Jamie Callan
Jason Hong
Javier Lopez
Jeannette M. Wing
Jeffrey Bigham
Jeffrey Eppinger
Jennifer Mankoff
Jessica Hammer
Jessica Hodgins
Jodi Forlizzi
John Anderson
John Zimmerman
Jonathan Aldrich
Justine Cassell
Karl Crary
Kathleen M. Carley
Kathryn Roeder
Kayvon Fatahalian
Ken Koedinger
Larry Wasserman
Laura Dabbish
Lenore Blum
Lorrie Cranor
Luis VonAhn
Mahadev Satyanarayanan
Manuel Blum
Manuela Veloso
Mary Shaw
Matt Mason
Michael Erdmann
Michael Shamos
Mor Harchol-Balter
Nancy Pollard
Noah Smith
Norman M Sadeh
Onur Mutlu
Peter Steenkiste
Raj Reddy
Randal Bryant
Richard Scheines
Richard Stern
Robert F. Murphy
Robert Harper
Robert Kass
Robert Kraut
Roberta Klatzky
Roni Rosenfeld
Russell Schwartz
Ryan O'Donnell
Ryan Tibshirani
Sara Kiesler
Scott Hudson
Seth Goldstein
Seyoung Kim
Srinivasan Seshan
Stephen Brookes
Steve Collins
Steven Dow
Steven Rudich
Tai Sing Lee
Takeo Kanade
Todd Mowry
Tom M. Mitchell
Travis Breaux
Tuomas Sandholm
Umut Acar
Venkatesan Guruswami
Vincent Aleven
William Cohen
William Scherlis
Yiming Yang
Yuvraj Agarwal
